time,wx (rad/s),wy (rad/s),wz (rad/s)
0.641024,-0.00,0.02,0.00
0.644089,-0.00,0.01,0.01
0.645142,-0.01,-0.02,-0.01
0.648139,0.00,0.01,0.01
0.648994,-0.00,0.02,0.01
0.652087,-0.01,0.02,-0.00
0.653216,-0.01,0.01,0.00
0.656052,-0.00,-0.01,-0.00
0.658426,-0.00,0.00,-0.00
0.660094,-0.01,0.02,0.01
0.661013,-0.01,-0.05,0.00
0.664254,0.00,-0.05,0.00
0.665030,0.00,0.00,0.00
0.668081,-0.02,0.05,0.01
0.669067,-0.01,0.03,-0.01
0.672033,-0.00,-0.01,-0.01
0.673281,-0.01,-0.00,-0.01
0.676134,-0.01,0.00,-0.01
0.677453,-0.01,0.01,-0.00
0.679992,0.00,-0.03,0.00
0.681134,0.00,-0.02,0.00
0.684353,-0.02,0.02,-0.01
0.685404,-0.01,0.04,-0.00
0.688453,-0.01,0.00,-0.02
0.689179,-0.00,-0.03,0.00
0.691987,-0.00,-0.02,-0.01
0.693422,-0.01,0.03,0.01
0.696187,-0.01,0.04,0.00
0.697064,-0.01,0.03,-0.00
0.700223,-0.01,-0.03,0.00
0.701143,0.01,-0.05,-0.02
0.704216,-0.01,0.06,0.00
0.705149,-0.02,0.04,0.01
0.707987,0.01,-0.06,0.00
0.709290,0.00,0.03,-0.01
0.712264,-0.03,0.08,-0.01
0.714003,-0.01,-0.03,0.00
0.715868,0.02,-0.07,-0.00
0.716922,-0.00,-0.01,-0.01
0.720113,-0.02,0.08,0.00
0.721404,-0.01,-0.00,0.01
0.723973,0.00,-0.05,-0.02
0.726185,0.00,-0.03,-0.01
0.728074,-0.01,0.02,-0.01
0.729097,-0.01,0.02,0.01
0.732259,-0.01,0.00,0.01
0.733348,-0.00,-0.00,-0.00
0.736094,-0.01,-0.01,-0.01
0.737183,-0.01,-0.00,-0.00
0.742731,0.00,-0.00,-0.00
0.743104,-0.01,0.01,0.01
0.744311,-0.01,0.05,-0.00
0.745748,-0.02,0.02,-0.01
0.747941,0.01,-0.07,-0.01
0.749480,-0.01,0.02,-0.00
0.751986,-0.03,0.02,0.00
0.753091,0.01,-0.03,0.01
0.756648,-0.01,0.03,-0.00
0.757855,-0.02,0.01,0.00
0.761193,-0.00,-0.01,0.01
0.761706,0.00,-0.01,-0.01
0.764036,-0.01,-0.00,0.00
0.765231,-0.00,0.03,0.00
0.768086,-0.02,0.00,0.01
0.769498,0.01,-0.03,-0.00
0.772422,-0.00,0.03,0.00
0.773156,-0.03,0.03,0.01
0.776857,0.00,-0.04,-0.00
0.777249,-0.01,-0.01,-0.01
0.780203,-0.02,0.03,-0.00
0.781259,-0.01,0.05,-0.00
0.784138,-0.01,-0.03,0.00
0.785318,0.01,-0.03,-0.01
0.788146,-0.01,0.00,-0.01
0.789219,-0.01,0.00,0.02
0.792559,0.00,0.01,0.00
0.793404,-0.01,0.03,-0.00
0.796353,-0.01,0.01,-0.00
0.797306,0.00,-0.03,-0.00
0.800231,0.00,-0.02,-0.00
0.801344,-0.02,0.04,-0.00
0.804013,-0.01,0.01,0.01
0.805486,-0.01,-0.03,-0.00
0.819781,-0.00,-0.01,-0.02
0.820515,-0.00,0.00,-0.00
0.820833,-0.01,0.02,0.01
0.821089,-0.01,0.01,0.01
0.821250,-0.00,-0.03,-0.01
0.821434,-0.00,-0.01,-0.01
0.821574,-0.00,0.01,0.01
0.821709,-0.01,0.04,0.01
0.824640,-0.00,0.06,-0.00
0.825523,-0.00,-0.01,0.00
0.828214,-0.00,-0.00,0.00
0.829337,-0.01,0.06,0.01
0.832221,-0.03,0.03,0.00
0.834140,-0.01,-0.03,-0.01
0.836035,0.01,-0.07,-0.02
0.837156,-0.01,0.01,-0.01
0.842460,-0.02,0.02,0.00
0.843060,-0.01,-0.04,-0.00
0.845219,0.00,0.01,-0.02
0.845513,-0.03,0.03,-0.01
0.848312,-0.01,-0.00,0.01
0.849299,0.01,-0.03,-0.01
0.852228,-0.02,0.03,-0.00
0.853419,-0.01,0.01,0.00
0.856354,-0.00,-0.02,0.01
0.857831,-0.01,0.01,0.00
0.860875,-0.01,-0.01,-0.00
0.861834,-0.00,-0.02,0.01
0.864496,-0.00,-0.01,0.00
