time,gFx,gFy,gFz,TgF
0.484843,0.0501,-0.0259,0.9650,0.967
0.485843,0.0457,-0.0086,0.9594,0.961
0.488607,0.0943,-0.0293,0.9604,0.965
0.490488,0.0928,0.0046,0.9887,0.993
0.492859,0.0889,-0.0156,0.9750,0.979
0.493911,0.0882,0.0024,0.9645,0.969
0.496404,0.0435,-0.0073,0.9929,0.994
0.497860,0.0767,-0.0022,0.9977,1.001
0.500759,0.0623,-0.0134,0.9631,0.965
0.502179,0.0486,0.0193,0.9582,0.960
0.505012,0.0843,-0.0266,0.9450,0.949
0.506128,0.0882,0.0039,0.9589,0.963
0.508573,0.1068,-0.0173,1.0730,1.078
0.509748,0.0508,0.0037,1.0752,1.076
0.512588,0.0581,0.0169,0.9262,0.928
0.513672,0.0726,-0.0061,0.9235,0.926
0.516493,0.0765,-0.0044,1.0312,1.034
0.517663,0.0877,-0.0276,1.0554,1.059
0.520505,0.0457,-0.0147,1.0461,1.047
0.521770,0.1053,0.0254,1.0102,1.016
0.526622,0.0696,0.0215,0.9215,0.924
0.527174,0.1290,-0.0042,0.9015,0.911
0.528586,0.1695,-0.0428,0.9780,0.993
0.529648,0.1551,-0.0017,1.1402,1.151
0.533165,0.0865,0.0093,1.0845,1.088
0.533729,0.1192,0.0071,1.0329,1.040
0.537112,0.1007,-0.0088,0.9237,0.929
0.537541,0.0533,0.0046,0.9616,0.963
0.540559,0.0823,-0.0022,1.0481,1.051
0.541964,0.1666,-0.0020,1.0786,1.091
0.544985,0.0823,-0.0198,0.9640,0.968
0.545854,0.1121,-0.0247,0.9909,0.998
0.548571,0.0904,0.0012,0.9899,0.994
0.549651,0.0765,-0.0208,0.9501,0.953
0.552780,0.1664,-0.0139,1.0146,1.028
0.553851,0.1292,-0.0364,1.0207,1.030
0.557054,0.0892,0.0073,1.0087,1.013
0.557824,0.1053,-0.0298,1.0202,1.026
0.560940,0.0843,-0.0134,0.9560,0.960
0.562405,0.0909,-0.0239,0.9296,0.934
0.565018,0.0748,0.0210,1.0083,1.011
0.566070,0.0840,-0.0173,1.0109,1.015
0.568994,0.0948,-0.0242,0.9486,0.954
0.570461,0.1053,-0.0081,0.9526,0.958
0.574496,0.1043,-0.0122,1.0341,1.039
0.575505,0.0726,0.0081,1.0080,1.011
0.576803,0.0696,0.0037,0.9526,0.955
0.577989,0.1136,-0.0261,0.9843,0.991
0.581074,0.0843,-0.0391,0.9753,0.980
0.581806,0.0601,-0.0281,1.0334,1.036
0.584944,0.0777,0.0005,1.0713,1.074
0.585627,0.1007,0.0161,0.9479,0.953
0.589075,0.0836,0.0205,0.9230,0.927
0.591653,0.0611,-0.0217,0.9633,0.965
0.592800,0.0867,-0.0010,1.0295,1.033
0.594149,0.0757,-0.0154,1.0598,1.063
0.597171,0.0628,-0.0257,1.0285,1.031
0.598037,0.0772,-0.0054,0.9618,0.965
0.602319,0.0579,-0.0159,1.0070,1.009
0.602873,0.0450,-0.0088,1.0131,1.014
0.607083,0.0750,-0.0029,1.0256,1.028
0.607772,0.0845,-0.0142,1.0735,1.077
0.609892,0.0955,-0.0147,1.0432,1.048
0.611555,0.0491,0.0056,1.0576,1.059
0.613324,0.0843,0.0129,1.1035,1.107
0.613988,0.0630,0.0176,0.9616,0.964
0.617229,0.1038,-0.0129,0.9526,0.958
0.617932,0.1131,-0.0254,1.0544,1.061
0.620761,0.0972,0.0042,1.0371,1.042
0.621852,0.1104,0.0232,1.0327,1.039
0.625885,0.1185,0.0110,1.0036,1.011
0.626584,0.0916,-0.0193,0.9579,0.962
0.630183,0.1051,-0.0117,1.0310,1.036
0.630819,0.0982,-0.0171,1.0701,1.075
0.633154,0.1143,0.0120,1.0862,1.092
0.634010,0.0787,-0.0051,0.9880,0.991
0.637040,0.0899,0.0125,0.9447,0.949
0.638005,0.1222,-0.0188,0.9985,1.006
0.645712,0.0728,-0.0188,1.0789,1.081
0.646451,0.0691,-0.0259,1.0403,1.043
0.646907,0.1292,0.0093,0.9569,0.966
0.647340,0.1007,-0.0142,1.0390,1.044
0.648796,0.0669,-0.0208,0.9704,0.973
0.649850,0.0733,-0.0024,0.9398,0.943
0.653048,0.0997,-0.0007,1.0200,1.025
0.654216,0.1119,-0.0381,1.0263,1.033
0.673791,0.1336,-0.0220,0.9860,0.995
0.674756,0.0564,-0.0046,0.9628,0.964
0.675221,0.0564,0.0005,0.9613,0.963
0.675826,0.1278,-0.0225,0.9012,0.911
0.676196,0.1385,-0.0315,0.8793,0.891
0.676540,0.1202,-0.0313,0.9897,0.997
0.676897,0.1121,-0.0022,1.1079,1.114
0.677232,0.0777,-0.0071,1.0679,1.071
0.677576,0.0410,0.0232,0.9203,0.922
0.677828,0.0914,-0.0110,0.8954,0.900
0.678018,0.0787,-0.0100,0.9362,0.940
0.680010,0.0897,-0.0254,1.0034,1.008
0.680973,0.1178,0.0088,0.9543,0.962
0.682508,0.1659,-0.0195,0.9491,0.964
0.685353,0.1327,-0.0271,0.9645,0.974
0.686368,0.0887,-0.0020,0.9753,0.979
0.689180,0.1229,-0.0022,1.0439,1.051
0.690942,0.0696,-0.0005,1.0478,1.050
0.693099,0.0892,-0.0054,0.9425,0.947
0.694540,0.0894,-0.0203,0.9535,0.958
