time,gFx,gFy,gFz,TgF
0.730434,0.0679,0.0787,0.9318,0.938
0.734200,0.0948,0.0594,0.9709,0.977
0.734753,0.0814,0.0586,0.9767,0.982
0.736359,0.0848,0.0540,0.9640,0.969
0.737762,0.0442,0.0481,0.9848,0.987
0.740656,0.0450,0.0381,0.9723,0.974
0.742272,0.0677,0.0765,0.9108,0.916
0.744642,0.0858,0.0503,0.8964,0.902
0.746380,0.1437,0.0325,0.9000,0.912
0.747639,0.0777,0.0474,0.9196,0.924
0.750994,0.0960,0.0410,0.9391,0.945
0.751502,0.0931,0.0428,0.9293,0.935
0.754856,0.0853,0.0818,0.9657,0.973
0.757464,0.0533,0.0313,0.9577,0.960
0.757949,0.0880,0.0552,0.8812,0.887
0.764692,0.1182,0.0459,0.8592,0.869
0.765582,0.0601,0.0606,0.9450,0.949
0.765941,0.0537,0.0594,0.9846,0.988
0.766255,0.0880,0.0586,0.9440,0.950
0.768382,0.0755,0.0450,0.8934,0.898
0.771546,0.0452,0.0315,0.9008,0.902
0.772888,0.0833,0.0599,0.9596,0.965
0.775379,0.0503,0.0696,0.9806,0.984
0.786657,0.0884,0.0523,1.0185,1.024
0.787339,0.0970,0.0655,0.9113,0.919
0.787635,0.0706,0.0665,0.8568,0.862
0.787893,0.1219,0.0266,0.8844,0.893
0.788140,0.0638,0.0584,0.9799,0.984
0.788374,0.1173,0.0730,0.9843,0.994
0.788735,0.1134,0.0701,0.9567,0.966
0.789694,0.0237,0.0215,0.9161,0.917
0.792669,0.1336,0.0511,0.8771,0.889
0.793438,0.0733,0.0691,0.8883,0.894
0.796079,0.0718,0.0559,0.9425,0.947
0.798129,0.1060,0.0349,0.9223,0.929
0.800829,0.0931,0.0420,0.9389,0.944
0.801343,0.0877,0.0540,0.9841,0.989
0.805028,0.0371,0.0938,0.9931,0.998
0.805764,0.0095,0.0755,0.9196,0.923
0.808617,0.0941,0.0540,0.8753,0.882
0.811069,0.1053,-0.0002,0.8590,0.865
0.811949,0.0628,0.0601,0.9486,0.953
0.815708,0.0853,0.0464,0.9650,0.970
0.816223,0.1007,0.0721,0.9672,0.975
0.819725,0.1094,0.0447,0.9916,0.999
0.820221,0.0613,0.0757,0.9618,0.967
0.822386,0.0381,0.0704,0.9447,0.948
0.824691,0.0518,0.0613,0.8917,0.895
0.827692,0.0796,0.0159,0.8490,0.853
0.828150,0.1368,0.0125,0.8475,0.859
0.831403,0.0645,0.0442,0.9577,0.961
0.831877,0.0928,0.0638,1.0105,1.017
0.834442,0.0953,0.0628,0.9139,0.921
0.836247,0.0682,0.0665,0.9100,0.915
0.838143,0.0867,0.0496,0.9538,0.959
0.840225,0.0476,0.0596,0.9655,0.969
0.849411,0.0366,0.0398,0.9447,0.946
0.850250,0.1207,0.0151,0.8490,0.858
0.850536,0.1283,0.0396,0.8993,0.909
0.850842,0.0914,0.0684,0.9848,0.991
0.851096,0.0796,0.0838,1.0437,1.050
0.852075,0.0603,0.0599,0.9227,0.927
0.855259,0.0882,0.0249,0.8751,0.880
0.855689,0.0938,0.0242,0.9086,0.914
0.859459,0.0230,0.0491,0.9755,0.977
0.860068,0.1151,0.0452,0.9506,0.959
0.872767,0.1004,0.0518,0.9208,0.928
0.873368,0.1080,0.0447,0.9137,0.921
0.873632,0.0689,0.0533,0.8971,0.901
0.873849,0.0760,0.0650,0.9352,0.941
0.874060,0.1038,0.0489,0.9740,0.981
0.874288,0.0520,0.0660,0.9743,0.978
0.874492,0.0625,0.0330,0.9144,0.917
0.878192,0.1165,0.0276,0.9139,0.922
0.878879,0.0928,0.0469,0.9186,0.924
0.880867,0.0689,0.0645,0.9394,0.944
0.882475,0.0687,0.0655,0.9645,0.969
0.884723,0.0755,0.0491,0.9489,0.953
0.886814,0.0877,0.0503,0.8995,0.905
0.888384,0.0804,0.0535,0.9472,0.952
0.890778,0.0542,0.0792,0.9616,0.966
0.892752,0.0858,0.0508,0.9381,0.943
0.894362,0.1121,0.0364,0.9186,0.926
0.895979,0.1388,0.0403,0.9227,0.934
0.899734,0.0606,0.0415,0.9665,0.969
0.900218,0.0396,0.0628,0.9980,1.001
0.902631,0.0809,0.0638,0.9105,0.916
0.904794,0.0586,0.0515,0.9059,0.909
0.906558,0.0679,0.0511,0.8881,0.892
0.912022,0.0860,0.0384,0.9047,0.910
0.912999,0.1058,0.0462,0.9569,0.964
0.913299,0.0782,0.0508,0.9841,0.988
0.915178,0.0784,0.0496,0.9159,0.921
0.916201,0.1014,0.0498,0.8487,0.856
0.918666,0.1002,0.0540,0.8656,0.873
0.919975,0.0652,0.0628,0.9975,1.002
0.923465,0.0706,0.0628,0.9943,0.999
0.925878,0.0818,0.0623,0.9567,0.962
0.926679,0.1016,0.0452,0.9267,0.933
0.929186,0.0613,0.0662,0.9384,0.943
0.931498,0.0862,0.0472,0.9511,0.956
0.931940,0.0537,0.0445,0.9860,0.988
0.935773,0.1173,0.0559,0.9589,0.968
0.938129,0.0770,0.0493,0.9164,0.921
0.938611,0.1014,0.0618,0.9081,0.916
0.941200,0.0875,0.0525,0.8824,0.888
0.947066,0.0472,0.0406,0.9330,0.935
0.947554,0.0630,0.0371,0.9372,0.940
0.947852,0.1136,0.0369,0.9494,0.957
0.948133,0.0882,0.0613,0.9784,0.984
0.951674,0.0796,0.0828,0.9912,0.998
0.952653,0.0679,0.0708,0.9784,0.983
0.956260,0.0948,0.0332,0.9078,0.913
0.959259,0.1156,0.0276,0.8766,0.885
0.959755,0.0760,0.0493,0.9218,0.926
0.960144,0.0799,0.0850,0.9662,0.973
0.966639,0.0967,0.0550,0.8949,0.902
0.967487,0.0782,0.0550,0.8834,0.889
0.967847,0.1051,0.0244,0.9193,0.926
0.968182,0.0608,0.0638,0.9716,0.976
0.971076,0.0432,0.0415,0.9682,0.970
0.972847,0.0867,0.0584,0.9826,0.988
0.976024,0.1200,0.0603,0.9460,0.955
0.976640,0.0603,0.0498,0.9279,0.931
0.990028,0.0792,0.0599,0.9584,0.964
0.990622,0.0828,0.0352,0.9633,0.967
0.990871,0.0594,0.0562,0.9416,0.945
0.991104,0.1094,0.0684,0.9298,0.939
0.991342,0.1278,0.0669,0.9301,0.941
0.991519,0.0633,0.0489,0.9284,0.932
0.991744,0.0970,0.0493,0.9257,0.932
0.991977,0.0889,0.0415,0.9183,0.924
0.993947,0.0621,0.0437,0.9325,0.936
0.996272,0.0752,0.0640,0.9271,0.932
0.998872,0.1112,0.0396,0.9269,0.934
1.000955,0.1129,0.0525,0.9504,0.958
